小区,户型,面积,地段,单价,总价,楼层,建成时间,有地铁
软景E居 , 2室1厅 , 78.21平米 ,软件园,26212.0,205.0,31,2011,False
八十中 , 2室1厅 , 55.55平米 ,大纺,12926.0,71.8,7,1994,False
晶品缘林 , 2室2厅 , 91.51平米 ,万科假日,12895.0,118.0,18,2008,False
万科假日风景 , 2室2厅 , 85.06平米 ,万科假日,15284.0,130.0,5,2008,False
刘家桥 , 2室1厅 , 46.35平米 ,春柳,8846.0,41.0,6,1990,False
电力公寓 , 2室2厅 , 90.7平米 ,和平广场,12680.0,115.0,30,2000,True
泊林和山 , 2室2厅 , 87.82平米 ,叠翠,8882.0,78.0,11,2007,False
第五郡五号地 , 2室2厅 , 92.38平米 ,第五郡,23057.0,213.0,5,2009,False
开建阳光馨苑 , 2室1厅 , 70.77平米 ,安盛,8125.0,57.5,32,2009,False
东电小区 , 2室1厅 , 67.44平米 ,学府,12130.0,81.8,6,1992,True
北昌平小区 , 2室1厅 , 43.58平米 ,西安路,12621.0,55.0,6,1992,True
万科假日风景 , 2室2厅 , 93.72平米 ,万科假日,14085.0,132.0,18,2008,False
万科魅力之城 , 3室1厅 , 87平米 ,魅力之城,12644.0,110.0,22,2012,False
泡崖四区 , 2室2厅 , 91.35平米 ,泡崖四区,9415.0,86.0,5,2002,False
实验小学英华街 , 3室1厅 , 110.36平米 ,英华街,16854.0,186.0,7,1992,True
东电小区 , 2室1厅 , 66.28平米 ,学府,15842.0,105.0,7,1992,True
新华同仁轩 , 2室1厅 , 38.67平米 ,阳光月秀,17585.0,68.0,8,2005,False
远洋风景 , 2室1厅 , 94.26平米 ,华府,19097.0,180.0,30,2008,True
鹏辉新世纪 , 3室2厅 , 120.06平米 ,鹏辉,15409.0,185.0,6,2003,False
鹏辉新世纪 , 2室1厅 , 62.32平米 ,鹏辉,18454.0,115.0,6,2004,False
嘉创E人国际 , 1室1厅 , 47.1平米 ,万达,14862.0,70.0,30,2011,True
葵英街（青云街商圈） , 2室1厅 , 52.11平米 ,青云街,11035.0,57.5,6,1992,False
圣托里尼 , 3室1厅 , 79.03平米 ,万达,18981.0,150.0,32,2014,True
中辰国际公寓 , 1室1厅 , 49.34平米 ,软件园,13681.0,67.5,10,2008,False
南沙 , 1室1厅 , 40.83平米 ,南沙,10042.0,41.0,7,1995,False
动力院景二期汇善南园 , 3室2厅 , 103.01平米 ,华南,14077.0,145.0,12,2007,True
世嘉星海 , 2室2厅 , 145.58平米 ,幸福e家,24042.0,350.0,10,2007,True
桃山小区 , 2室2厅 , 71.75平米 ,孙家沟,8474.0,60.8,7,1998,False
万科溪之谷 , 2室2厅 , 106平米 ,溪之谷,11227.0,119.0,27,2009,False
玉山路 , 2室2厅 , 67.43平米 ,泡崖八区,7386.0,49.8,4,2002,False
碧海尚城 , 3室2厅 , 135.4平米 ,碧海,8051.0,109.0,31,2007,False
新星绿城三期 , 3室2厅 , 109.8平米 ,辛寨子,9563.0,105.0,6,2006,False
千山心城 , 3室2厅 , 77.04平米 ,山东路,11293.0,87.0,6,2003,True
安盛花园 , 2室2厅 , 78.25平米 ,安盛,9585.0,75.0,17,2003,True
铁路西站 , 1室1厅 , 34.11平米 ,华府,12548.0,42.8,8,1997,False
壹品星海二期 , 2室1厅 , 113.46平米 ,星海广场,24679.0,280.0,15,2007,True
桃山小区 , 2室1厅 , 71.3平米 ,孙家沟,9468.0,67.5,7,1998,False
华润海中国五期 , 2室1厅 , 87.93平米 ,华润海中国,13079.0,115.0,34,2015,False
大连海湾城一期、二期 , 2室1厅 , 109.35平米 ,华润海中国,11523.0,126.0,34,2012,False
鹏辉新世纪 , 3室1厅 , 122.4平米 ,鹏辉,14053.0,172.0,12,2003,False
弘基三期 , 3室2厅 , 123.44平米 ,学府,20415.0,252.0,6,2005,True
八十中 , 2室1厅 , 62.88平米 ,大纺,10656.0,67.0,7,1993,False
海韵花园 , 2室2厅 , 92.06平米 ,黑石礁,12492.0,115.0,7,2000,True
中海紫御观邸 , 2室2厅 , 107.53平米 ,万达,20925.0,225.0,32,2013,True
青云映山 , 2室2厅 , 111.14平米 ,青云街,19345.0,215.0,24,2005,False
泡崖一区 , 1室1厅 , 41.94平米 ,泡崖市场,9061.0,38.0,7,1993,False
赛维利大厦 , 1室1厅 , 44.43平米 ,英华街,16656.0,74.0,28,2004,True
春江花园 , 2室2厅 , 85.69平米 ,华府,17505.0,150.0,7,2002,True
马栏广场东 , 2室1厅 , 61.81平米 ,马栏,10193.0,63.0,6,1995,True
逸林派 , 2室2厅 , 84.31平米 ,万科假日,13641.0,115.0,9,2011,False
青云林海 , 2室2厅 , 101.45平米 ,青云街,18433.0,187.0,11,2001,False
中华名城 , 3室2厅 , 101平米 ,八一路,18119.0,183.0,12,2003,False
铁路西站 , 2室2厅 , 70.14平米 ,华府,11691.0,82.0,7,1997,False
景润二期 , 2室1厅 , 101.9平米 ,北京公园,11777.0,120.0,6,2002,True
兴达花园 , 3室2厅 , 100.62平米 ,西山水库,10436.0,105.0,7,2000,True
绿波花园 , 3室2厅 , 109.55平米 ,绿波,11685.0,128.0,6,2001,False
星海国宝 , 2室2厅 , 193.45平米 ,星海广场,18351.0,355.0,30,2003,False
新华绿洲 , 3室2厅 , 107.8平米 ,大纺,17997.0,194.0,6,2001,False
万科假日风景 , 2室2厅 , 93.1平米 ,万科假日,14931.0,139.0,5,2008,False
彩霞园 , 2室1厅 , 58.24平米 ,马栏,10303.0,60.0,5,2000,True
大华御庭 , 4室2厅 , 144.7平米 ,星海人家商圈,20042.0,290.0,18,2009,False
星海国宝 , 3室2厅 , 216.72平米 ,星海广场,21687.0,470.0,30,2003,False
泡崖康居园 , 3室2厅 , 113平米 ,泡崖八区,9912.0,112.0,6,2002,False
弘基三期 , 3室2厅 , 119.7平米 ,学府,17795.0,213.0,19,2005,True
星浦庄园 , 2室2厅 , 94.5平米 ,黑石礁,11641.0,110.0,7,1997,False
润泽园 , 2室1厅 , 84.16平米 ,美域盛景,14853.0,125.0,11,2012,False
万科魅力之城 , 3室2厅 , 89.94平米 ,魅力之城,13565.0,122.0,9,2012,False
马栏北街 , 2室1厅 , 73.5平米 ,马栏,12245.0,90.0,5,1996,True
万国宫馆一期 , 2室1厅 , 83.49平米 ,红梅翠竹,13894.0,116.0,31,2009,False
软件园小区 , 1室1厅 , 47.61平米 ,软件园,13653.0,65.0,6,2000,False
鹏辉新世纪 , 2室2厅 , 89.76平米 ,鹏辉,17269.0,155.0,6,2004,False
万科溪之谷 , 3室1厅 , 93.04平米 ,溪之谷,10211.0,95.0,27,2007,False
由家村 , 2室1厅 , 56.86平米 ,软件园,11080.0,63.0,7,1990,True
刘家桥 , 2室1厅 , 51.42平米 ,春柳,9724.0,50.0,6,1989,False
杭州街 , 3室1厅 , 70.5平米 ,黑石礁,12483.0,88.0,7,1990,True
金海花园西园 , 2室2厅 , 98.46平米 ,香炉礁,11680.0,115.0,7,2001,False
泡崖六区 , 2室1厅 , 59.8平米 ,泡崖市场,8613.0,51.5,6,2004,False
山东路 , 3室2厅 , 113.89平米 ,山东路,10098.0,115.0,6,1999,True
泡崖六区 , 2室1厅 , 59.8平米 ,泡崖市场,8613.0,51.5,6,2004,False
枫丹丽城 , 2室2厅 , 94平米 ,美域盛景,12554.0,118.0,18,2013,True
金福小区 , 1室1厅 , 54.27平米 ,辽师,10651.0,57.8,7,2000,True
东城天下 , 3室2厅 , 123.21平米 ,东城,7792.0,96.0,12,2005,False
铁路西站 , 2室2厅 , 74.74平米 ,华府,10838.0,81.0,7,1997,False
万科溪之谷 , 2室1厅 , 89.58平米 ,溪之谷,11722.0,105.0,5,2007,False
前程街 , 2室2厅 , 87.61平米 ,马栏,10387.0,91.0,7,2000,True
学子园 , 3室2厅 , 135.47平米 ,软件园,19193.0,260.0,6,2002,False
锦云中园 , 2室2厅 , 89.97平米 ,锦绣,9315.0,83.8,7,1996,False
万科城市花园 , 3室2厅 , 152.49平米 ,绿波,17051.0,260.0,11,2006,False
依山云水 , 3室2厅 , 141.79平米 ,万科假日,11271.0,159.8,7,2007,False
青云林海 , 3室2厅 , 169.91平米 ,青云街,20011.0,340.0,6,2001,False
星海自由港 , 1室1厅 , 57.28平米 ,星海人家商圈,17109.0,98.0,5,2004,True
天河路 , 2室2厅 , 86.61平米 ,名贵,10369.0,89.8,7,1998,True
林语家话 , 2室2厅 , 99.48平米 ,促进路,22618.0,225.0,10,2005,True
菁英汇 , 1室1厅 , 40.86平米 ,万达,18845.0,77.0,18,2007,True
星海人家 , 3室2厅 , 128.29平米 ,星海人家商圈,19877.0,255.0,5,2002,True
万科魅力之城 , 2室1厅 , 75.15平米 ,魅力之城,13041.0,98.0,22,2012,False
东特新天地 , 3室1厅 , 57.89平米 ,周水子,10330.0,59.8,13,2004,False
鹏辉新世纪 , 2室2厅 , 75.08平米 ,鹏辉,15317.0,115.0,6,2003,False
泡崖七区 , 2室1厅 , 64.76平米 ,泡崖市场,9296.0,60.2,6,2000,False
北欧假日 , 3室1厅 , 118.17平米 ,松峪,9563.0,113.0,18,2005,False
大有文园 , 2室2厅 , 88.51平米 ,凌水,17739.0,157.0,15,2012,False
孙家沟 , 2室1厅 , 66.19平米 ,孙家沟,10274.0,68.0,7,1990,False
西南路（春柳商圈） , 2室1厅 , 73平米 ,春柳,8494.0,62.0,7,1996,True
西山逸林 , 2室1厅 , 79.24平米 ,万科假日,13378.0,106.0,9,2009,False
由家村 , 2室1厅 , 62.24平米 ,软件园,10444.0,65.0,7,1990,True
春田银杏园 , 2室1厅 , 62.35平米 ,辛寨子,22454.0,140.0,11,2011,False
桃山小区 , 3室1厅 , 109.94平米 ,孙家沟,8642.0,95.0,7,1998,False
王家桥 , 2室0厅 , 46.59平米 ,促进路,14381.0,67.0,6,1993,True
观山满庭芳 , 4室2厅 , 111.27平米 ,马栏,21120.0,235.0,5,2008,True
北欧假日 , 3室2厅 , 103.58平米 ,松峪,8979.0,93.0,33,2005,False
翠竹小区 , 4室2厅 , 148.25平米 ,红梅翠竹,5464.0,81.0,6,1996,False
泡崖美林园 , 2室2厅 , 74.52平米 ,美林园,10172.0,75.8,6,2003,False
泡崖美林园 , 2室1厅 , 61.68平米 ,美林园,9809.0,60.5,7,2003,False
山海一家一期 , 2室1厅 , 87.29平米 ,万达,11686.0,102.0,16,2005,True
玉丽街 , 2室2厅 , 95.8平米 ,泡崖八区,8873.0,85.0,7,2002,False
由家村 , 1室1厅 , 46.19平米 ,软件园,13423.0,62.0,7,1990,True
山海一家一期 , 2室2厅 , 96.71平米 ,万达,12305.0,119.0,16,2005,False
泡崖五区 , 2室1厅 , 77.97平米 ,泡崖市场,10261.0,80.0,6,1999,False
动力院景一期汇仁南园 , 2室2厅 , 143.84平米 ,华南,12932.0,186.0,16,2006,True
鹏辉新世纪 , 2室2厅 , 88.47平米 ,鹏辉,17521.0,155.0,6,2003,False
里程巷 , 2室1厅 , 58.69平米 ,马栏,7821.0,45.9,6,2000,True
泡崖康馨园 , 3室2厅 , 105平米 ,泡崖八区,9334.0,98.0,6,2002,False
星海国宝 , 3室1厅 , 217.29平米 ,星海广场,19790.0,430.0,30,2003,False
清都记忆 , 2室2厅 , 89.54平米 ,红梅翠竹,10945.0,98.0,30,2013,False
文华园 , 2室2厅 , 98.1平米 ,海富,9175.0,90.0,11,2007,False
黑石礁广场 , 2室1厅 , 67.11平米 ,黑石礁,12487.0,83.8,7,1995,True
幸福小区 , 3室1厅 , 80.9平米 ,辽师,9889.0,80.0,7,1998,True
锦泉源D2区 , 2室1厅 , 66.24平米 ,锦泉源,10417.0,69.0,18,2005,False
兴港花园 , 3室2厅 , 129.29平米 ,辽师,9437.0,122.0,6,2000,True
金福小区 , 2室2厅 , 94.11平米 ,辽师,9883.0,93.0,7,2000,True
79中永平 , 3室2厅 , 95.44平米 ,中山公园,25147.0,240.0,6,1995,True
东城天下 , 2室2厅 , 85.4平米 ,东城,7729.0,66.0,6,2005,False
青云林海 , 3室2厅 , 156.9平米 ,青云街,20077.0,315.0,6,2001,False
金色阳光家园 , 2室2厅 , 89.72平米 ,锦泉源,10812.0,97.0,6,2002,False
水畔精品 , 2室2厅 , 98.73平米 ,万科假日,10028.0,99.0,19,2014,False
幸福e家五期 , 2室2厅 , 93.65平米 ,幸福e家,33102.0,310.0,9,2008,True
翠竹小区 , 4室2厅 , 184.51平米 ,红梅翠竹,5095.0,94.0,6,1996,False
亿达软景中心 , 1室1厅 , 42.28平米 ,软件园,21287.0,90.0,20,2014,False
华南花园 , 2室1厅 , 80.81平米 ,名贵,10395.0,84.0,7,1999,True
中盛家园 , 2室2厅 , 94.73平米 ,西安路,18791.0,178.0,13,2002,True
第五郡五号地 , 4室3厅 , 192.37平米 ,第五郡,17467.0,336.0,5,2009,False
兴达花园 , 2室1厅 , 67.57平米 ,西山水库,10064.0,68.0,6,2000,True
大华御庭 , 3室2厅 , 127.86平米 ,星海人家商圈,16894.0,216.0,17,2009,False
泡崖康居园 , 2室1厅 , 76.09平米 ,泡崖八区,8740.0,66.5,6,2002,False
幸福小区 , 2室2厅 , 77.78平米 ,辽师,9900.0,77.0,7,1998,True
新科花园 , 2室1厅 , 74.83平米 ,万达,16705.0,125.0,6,2003,True
动力院景三期汇善园 , 2室1厅 , 102.29平米 ,华南,13101.0,134.0,12,2007,True
北府花园 , 2室1厅 , 98.4平米 ,华南,14228.0,140.0,15,2007,True
华润海中国四期 , 3室2厅 , 116.39平米 ,华润海中国,13747.0,160.0,34,2014,False
里程巷 , 2室1厅 , 79.47平米 ,马栏,7551.0,60.0,7,2000,False
康桥小镇 , 4室2厅 , 77平米 ,凌水,20780.0,160.0,4,2010,False
星海人家 , 2室2厅 , 98.64平米 ,星海人家商圈,23318.0,230.0,10,2001,True
新起花园 , 2室1厅 , 94平米 ,新起屯,12554.0,118.0,5,2000,False
城市佳园 , 2室2厅 , 86.56平米 ,西安路,19062.0,165.0,5,2004,True
万科溪之谷 , 3室2厅 , 89.79平米 ,溪之谷,13142.0,118.0,5,2007,False
由家村 , 2室1厅 , 83.88平米 ,软件园,13711.0,115.0,7,1990,True
新华绿洲 , 3室2厅 , 86.29平米 ,大纺,16109.0,139.0,12,2001,False
绿洲半岛北岸 , 2室1厅 , 87.87平米 ,海富,9731.0,85.5,18,2007,False
龙畔锦城 , 2室1厅 , 90.68平米 ,华府,15384.0,139.5,23,2009,False
侯二小区 , 2室1厅 , 56.47平米 ,侯家沟,9705.0,54.8,7,1991,True
宏都峰景 , 2室1厅 , 62.18平米 ,万达,17369.0,108.0,31,2012,True
东方圣克拉一期 , 2室1厅 , 70.15平米 ,庙岭,25375.0,178.0,23,2010,False
星海大观 , 1室1厅 , 76.37平米 ,星海广场,17939.0,137.0,50,2010,False
大华锦绣华城一期 , 1室2厅 , 63.28平米 ,庙岭,22598.0,143.0,26,2010,False
亿锋广场一期 , 1室1厅 , 42.14平米 ,红梅翠竹,12578.0,53.0,33,2014,False
MINI印象 , 1室0厅 , 56.92平米 ,万达,15812.0,90.0,32,2012,True
中辰国际公寓 , 1室1厅 , 52.33平米 ,软件园,12613.0,66.0,10,2008,False
亿锋广场二期 , 2室1厅 , 71.07平米 ,红梅翠竹,12945.0,92.0,32,2015,True
锦江园 , 2室1厅 , 87.87平米 ,锦绣,8536.0,75.0,7,1996,False
壹品星海三期 , 3室2厅 , 166.33平米 ,星海广场,29460.0,490.0,15,2007,True
玉意街 , 2室2厅 , 97.94平米 ,泡崖八区,8781.0,86.0,6,2002,False
34中 , 3室1厅 , 88平米 ,唐山街,23864.0,210.0,6,1990,True
叠翠骏景 , 1室2厅 , 62.3平米 ,叠翠,9310.0,58.0,5,2007,False
亿达康派公寓 , 1室0厅 , 37.08平米 ,软件园,14024.0,52.0,24,2006,False
凌源街 , 2室1厅 , 57.25平米 ,学府,11669.0,66.8,7,1990,True
聚鑫小区二期 , 2室1厅 , 50.44平米 ,金纺,7237.0,36.5,6,2008,False
壹品星海三期 , 1室1厅 , 89.83平米 ,星海广场,21152.0,190.0,30,2007,True
海滨住宅小区（寺儿沟商圈） , 2室0厅 , 46.49平米 ,寺儿沟,9895.0,46.0,16,1995,True
软件园小区 , 1室1厅 , 51.66平米 ,软件园,12563.0,64.9,6,2000,False
和平现代城 , 1室1厅 , 60.67平米 ,和平广场,14011.0,85.0,50,2005,True
泰华府邸 , 1室1厅 , 62.61平米 ,大纺,16292.0,102.0,22,2009,False
开建阳光馨苑 , 1室1厅 , 71平米 ,安盛,6972.0,49.5,32,2009,True
香炉礁 , 1室1厅 , 40.23平米 ,香炉礁,9695.0,39.0,8,1989,True
大有恬园 , 3室2厅 , 87.12平米 ,凌水,15841.0,138.0,6,2010,False
桃山小区 , 2室1厅 , 82.19平米 ,孙家沟,9004.0,74.0,7,1998,False
里程巷 , 2室1厅 , 57.17平米 ,马栏,9271.0,53.0,7,2000,True
新希望花园 , 3室1厅 , 124.01平米 ,和平广场,18547.0,230.0,26,2003,True
壹品星海一期 , 2室1厅 , 101.02平米 ,星海广场,19997.0,202.0,33,2005,True
南沙 , 2室1厅 , 71.59平米 ,南沙,8940.0,64.0,7,1995,False
天河新苑 , 2室2厅 , 97.08平米 ,阳光月秀,12155.0,118.0,6,2000,False
和平现代城 , 2室1厅 , 84.44平米 ,和平广场,17528.0,148.0,50,2005,True
华邦俪城 , 3室2厅 , 108.09平米 ,桃园,7864.0,85.0,26,2011,True
远洋时代城一期 , 3室2厅 , 108.55平米 ,高城山,7278.0,79.0,18,2012,False
大连海湾城一期、二期 , 2室1厅 , 81.59平米 ,华润海中国,10173.0,83.0,34,2012,False
远洋广场 , 2室1厅 , 73平米 ,华南,16165.0,118.0,31,2012,True
兴港花园 , 2室2厅 , 103.3平米 ,辽师,11811.0,122.0,6,2000,True
锦霞南园 , 3室2厅 , 126.5平米 ,锦绣,10198.0,129.0,6,2002,False
帝欧花园 , 2室2厅 , 90.57平米 ,绿波,15017.0,136.0,12,2005,False
唯美品格 , 3室2厅 , 142.48平米 ,大纺,28776.0,410.0,5,2009,True
台山 , 2室1厅 , 91.66平米 ,南沙,8292.0,76.0,7,1998,False
良运缤纷四季 , 2室2厅 , 88.9平米 ,丽景,18673.0,166.0,18,2006,True
实验小学英华街 , 2室0厅 , 56.09平米 ,英华街,21395.0,120.0,8,1992,True
长春街 , 2室2厅 , 103.38平米 ,八一路,10834.0,112.0,6,1997,False
恒宇祥苑 , 1室1厅 , 44.58平米 ,第五郡,8525.0,38.0,5,2003,False
七迎路 , 2室1厅 , 65平米 ,山东路,10000.0,65.0,6,1995,True
新星绿城四期 , 3室2厅 , 129.01平米 ,辛寨子,10697.0,138.0,6,2008,False
泉水家年华 , 2室2厅 , 92.28平米 ,美域盛景,9753.0,90.0,28,2009,False
生辉第一城 , 2室1厅 , 54.45平米 ,城润,10285.0,56.0,18,2007,True
锦泉源D2区 , 3室2厅 , 66.55平米 ,锦泉源,13224.0,88.0,5,2005,False
第五郡四号地 , 3室2厅 , 134.87平米 ,第五郡,20465.0,276.0,5,2010,False
新华绿洲 , 3室2厅 , 86.08平米 ,大纺,15684.0,135.0,6,2001,False
泡崖七区 , 2室1厅 , 52.39平米 ,泡崖市场,9353.0,49.0,6,2000,False
泉水人家幸福里 , 2室1厅 , 102.95平米 ,美域盛景,8743.0,90.0,22,2009,True
锦霞北园 , 2室2厅 , 73.32平米 ,锦绣,8729.0,64.0,6,1998,True
迎春二巷 , 3室1厅 , 106.26平米 ,石道街,9223.0,98.0,7,1995,False
康桥小镇 , 5室3厅 , 76.31平米 ,凌水,25816.0,197.0,4,2010,False
众益阳光海岸 , 3室2厅 , 132.45平米 ,海富,10495.0,139.0,6,2005,False
锦江园 , 2室2厅 , 86.72平米 ,锦绣,9456.0,82.0,7,1996,False
龙畔锦城 , 2室2厅 , 87.24平米 ,华府,21206.0,185.0,9,2009,False
泡崖美林园 , 2室1厅 , 54.7平米 ,美林园,8227.0,45.0,4,2003,False
安邦阳光润城 , 2室2厅 , 97.65平米 ,叠翠,9729.0,95.0,31,2011,False
兰丰巷 , 2室1厅 , 50.43平米 ,马栏,7893.0,39.8,6,1992,True
美域盛景 , 2室1厅 , 86.16平米 ,美域盛景,10980.0,94.6,20,2008,False
泰华府邸 , 1室1厅 , 65.8平米 ,大纺,14894.0,98.0,22,2009,False
锦江园 , 2室1厅 , 66.95平米 ,锦绣,9261.0,62.0,7,1996,False
良运缤纷四季 , 2室2厅 , 93.41平米 ,丽景,17986.0,168.0,18,2006,True
观山满庭芳 , 4室3厅 , 90.57平米 ,马栏,34007.0,308.0,5,2008,True
青云映山 , 2室2厅 , 59.94平米 ,青云街,26694.0,160.0,19,2005,False
弘基三期 , 3室2厅 , 143.52平米 ,学府,25084.0,360.0,5,2005,True
悦泰馨家 , 2室1厅 , 67.61平米 ,金三角,23370.0,158.0,5,2004,False
亲亲家园 , 3室1厅 , 119平米 ,西山水库,13446.0,160.0,7,2004,True
兴工街 , 2室1厅 , 79平米 ,西安路,10000.0,79.0,7,1995,True
